jurisdiction,number,adult_number,adult_percent
United States,328239523,255200373,77.7
Northeast,55982803,44478478,79.5
Midwest,68329004,52980427,77.5
South,125580448,97108254,77.3
West,78347268,60633214,77.4
Alabama,4903185,3814879,77.8
Alaska,731545,551562,75.4
Arizona,7278717,5638481,77.5
Arkansas,3017804,2317649,76.8
California,39512223,30617582,77.5
Colorado,5758736,4499217,78.1
Connecticut,3565287,2837847,79.6
Delaware,973764,770192,79.1
District of Columbia,705749,577581,81.8
Florida,21477737,17247808,80.3
Georgia,10617423,8113542,76.4
Hawaii,1415872,1116004,78.8
Idaho,1787065,1338864,74.9
Illinois,12671821,9853946,77.8
Indiana,6732219,5164245,76.7
Iowa,3155070,2428229,77
Kansas,2913314,2213064,76
Kentucky,4467673,3464802,77.6
Louisiana,4648794,3561164,76.6
Maine,1344212,1095370,81.5
Maryland,6045680,4710993,77.9
Massachusetts,6892503,5539703,80.4
Michigan,9986857,7842924,78.5
Minnesota,5639632,4336475,76.9
Mississippi,2976149,2277566,76.5
Missouri,6137428,4766843,77.7
Montana,1068778,840190,78.6
Nebraska,1934408,1458334,75.4
Nevada,3080156,2387517,77.5
New Hampshire,1359711,1104458,81.2
New Jersey,8882190,6943612,78.2
New Mexico,2096829,1620991,77.3
New York,19453561,15425262,79.3
North Carolina,10488084,8187369,78.1
North Dakota,762062,581891,76.4
Ohio,11689100,9111081,77.9
Oklahoma,3956971,3004733,75.9
Oregon,4217737,3351175,79.5
Pennsylvania,12801989,10167376,79.4
Rhode Island,1059361,854866,80.7
South Carolina,5148714,4037531,78.4
South Dakota,884659,667558,75.5
Tennessee,6829174,5319123,77.9
Texas,28995881,21596071,74.5
Utah,3205958,2274774,71
Vermont,623989,509984,81.7
Virginia,8535519,6674671,78.2
Washington,7614893,5951832,78.2
West Virginia,1792147,1432580,79.9
Wisconsin,5822434,4555837,78.2
Wyoming,578759,445025,76.9
Puerto Rico,3193694,2620963,82.1
